unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
222178,44900,48900,35200,38900,45861,52257,11000,14750,428,1759,0,0,0,0,0,0,0,,latest
222567,41300,42000,32300,36700,37841,41886,3500,3500,192,500,0,0,0,0,0,1,0,hsi,latest
222576,33400,36800,28200,31300,35626,38075,10309,9500,1358,2343,0,0,0,0,0,1,0,hsi,latest
222628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
222822,33900,35500,27000,28400,NA,30992,NA,NA,NA,NA,0,0,0,0,0,1,0,hsi,latest
222831,41600,46300,32200,36100,42254,45162,12432,12394,1012,3105,0,0,0,0,0,1,0,hsi,latest
222877,NA,38000,NA,26500,31951,39650,9500,9500,45,141,0,0,0,0,0,1,0,hsi,latest
222886,27200,29200,24200,26500,NA,36288,7514,8015,272,412,0,0,0,0,0,0,0,,latest
222983,44500,52800,38700,39900,48611,52390,17375,17500,148,515,0,0,0,0,1,1,0,aanapii;hsi,latest
222992,36700,40300,29000,31700,37293,39997,7198,6126,4998,10056,0,0,0,0,0,1,0,hsi,latest
223001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
223056,NA,22200,NA,19900,NA,26026,4959,5500,65,122,0,0,0,0,0,0,0,,latest
223083,NA,NA,53200,58900,71806,76742,14979,14342,381,768,0,0,0,0,0,0,0,,latest
223117,NA,NA,NA,NA,NA,42354,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
223223,NA,203900,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
223232,56600,58400,43700,46600,58728,61504,19898,19500,850,4557,0,0,0,0,0,0,0,,latest
223320,30900,33400,28200,30100,31583,33536,8937,7445,400,776,0,0,0,0,0,1,0,hsi,latest
223427,38300,44500,30600,35800,36671,42590,5500,5500,3130,8270,0,0,0,0,0,0,0,,latest
223463,26500,28100,22200,23400,26524,28019,9500,9500,6102,7169,0,0,0,0,0,1,0,hsi,latest
223472,30500,31600,26000,27000,36891,38019,12000,12000,151,309,0,0,0,0,0,0,0,,latest
223506,40100,43500,33500,37400,38431,41369,4500,4250,59,117,0,0,0,0,0,1,0,hsi,latest
223816,32700,34900,26700,29000,37969,40141,4750,5250,1761,3080,0,0,0,0,0,1,0,hsi,latest
223852,NA,21300,NA,19000,NA,24193,8635,7770,42,89,0,0,0,0,0,0,0,,latest
223898,31000,34600,27300,29400,31881,34954,8000,6500,291,710,0,0,0,0,0,0,0,,latest
223922,33800,37900,30100,31800,32102,35071,6023,5500,247,487,0,0,0,0,0,0,0,,latest
224004,45300,51300,31500,41200,49276,55431,15750,15134,531,1364,0,0,0,0,0,1,0,hsi,latest
224013,NA,NA,NA,NA,NA,19396,NA,9500,NA,63,0,0,0,0,0,0,0,,latest
224110,36300,37600,31400,34100,39531,42116,7045,6020,1326,3017,0,0,0,0,0,1,0,hsi,latest
224147,46700,48600,36700,39100,46375,48378,17000,15273,1921,5087,0,0,0,0,0,1,0,hsi,latest
224156,28700,32800,22100,25600,23322,26938,7202,7457,592,1041,0,0,0,0,0,0,0,,latest
224226,41300,49200,33400,42900,45787,51508,16892,16000,388,1321,0,0,0,0,0,0,0,,latest
224244,NA,45500,NA,33000,35822,43057,14000,15000,59,162,0,0,0,0,0,0,0,,latest
224271,33200,37800,30300,35300,NA,37279,7897,7664,205,352,0,0,0,0,0,0,0,,latest
224305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
224323,54500,51400,35700,37400,45042,55859,15250,18478,72,608,0,0,0,0,0,1,0,hsi,latest
224350,36100,38000,30300,32600,32512,34559,3709,3500,834,1707,0,0,0,0,0,1,0,hsi,latest
224527,39600,43600,32800,34800,39627,44309,14000,15030,307,970,0,0,0,0,0,0,0,,latest
224545,36700,39200,31000,34800,41587,43340,12500,12500,617,1211,0,0,0,0,0,0,0,,latest
224554,39500,41900,32200,36000,42379,46297,14500,14250,2084,4776,0,0,0,0,0,1,0,hsi,latest
224615,31600,34100,26700,29400,35526,37920,5822,5500,7529,11806,0,0,0,0,0,1,0,hsi,latest
224642,30600,31700,25200,26100,30908,31963,5531,5231,872,1690,0,0,0,0,0,1,0,hsi,latest
224660,31800,34500,27900,28800,NA,34484,12812,13406,1038,1470,0,0,0,0,0,0,0,,latest
224679,31800,34500,27900,28800,NA,34484,12812,13406,1038,1470,0,0,0,0,0,0,0,,latest
224712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
224758,NA,21800,NA,20900,NA,24847,NA,4750,16,31,0,0,0,0,0,0,0,,latest
224828,NA,21600,NA,18100,18110,19197,4750,4750,62,87,0,0,0,0,0,0,0,,latest
224891,31300,34700,29200,33600,31264,33728,6653,5500,70,164,0,0,0,0,0,0,0,,latest
224961,36600,40100,28600,31800,NA,33977,8949,7250,218,328,0,0,0,0,0,1,0,hsi,latest
