unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
147590,47200,42600,41400,38700,42342,49857,12500,12289,63,90,0,0,0,0,0,0,0,,latest
147642,NA,NA,NA,20200,NA,28170,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
147660,47400,52300,36200,39300,46453,55116,20000,18750,252,1411,0,0,0,0,0,0,0,,latest
147679,43700,45600,36600,40300,50384,53586,20832,19875,81,208,0,0,0,0,0,1,0,hsi,latest
147697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
147703,46300,49800,36100,39400,47885,51305,18000,16250,2720,7480,0,0,0,0,0,0,0,,latest
147767,99900,93400,70100,71900,84023,83487,12500,14000,282,1606,0,0,0,0,0,0,0,,latest
147776,39300,41900,32500,35200,45407,47923,11754,11969,1323,2480,0,0,0,0,1,1,0,aanapii;hsi,latest
147800,42600,43900,31000,31500,42531,43284,3500,3500,69,181,0,0,0,0,1,0,0,aanapii,latest
147819,NA,21200,NA,17200,NA,20087,9500,9833,30,58,0,0,0,0,0,0,0,,latest
147828,37300,44000,32800,39300,48269,53428,14250,19313,495,1981,0,0,0,0,0,0,0,,latest
147916,31000,35300,24300,28600,30229,34657,4900,5250,1217,2561,0,0,0,0,0,0,0,,latest
148007,30700,33300,25300,27500,30784,32876,9111,8000,486,891,0,1,0,0,0,1,0,pbi;hsi,latest
148016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
148098,NA,NA,NA,NA,NA,25014,NA,8375,NA,27,0,0,0,0,0,0,0,,latest
148131,34900,46000,32400,34200,41661,48761,10955,13000,152,591,0,0,0,0,0,0,0,,latest
148256,27400,31400,23100,25900,31493,33716,4625,4475,60,92,0,0,0,0,0,0,0,,latest
148292,28000,30900,26400,28200,31869,35323,4351,4500,279,516,0,0,0,0,0,0,0,,latest
148380,30700,34000,25800,28500,33964,37290,6180,5500,216,635,0,0,0,0,0,0,0,,latest
148405,44300,47800,33600,38300,49587,51281,18204,15000,320,805,0,0,0,0,0,0,0,,latest
148487,42400,47700,35500,39700,41967,47124,14750,14667,1392,3200,0,0,0,0,0,1,0,hsi,latest
148496,45700,49900,37000,39000,55689,57407,17617,18750,462,1325,0,0,0,0,0,1,0,hsi,latest
148511,144500,125000,66600,67000,NA,82684,23750,19273,45,79,0,0,0,0,0,0,0,,latest
148575,NA,58100,55100,52600,70064,70637,17565,15000,76,230,0,0,0,0,0,0,0,,latest
148584,54500,56500,44900,47100,55727,62784,16600,16500,369,1237,0,0,0,0,0,1,0,hsi,latest
148593,NA,NA,NA,NA,76831,75444,25000,15000,30,104,0,0,0,0,0,0,0,,latest
148627,44900,50600,36800,41400,52038,56175,15086,16699,632,1739,0,0,0,0,0,1,0,hsi,latest
148654,45900,49900,34300,38500,48785,53900,12653,14000,667,1611,0,0,0,0,0,0,0,,latest
148672,30700,35300,24500,28000,35230,38309,6500,5500,133,324,0,0,0,0,0,0,0,,latest
148821,27200,29500,22700,23900,NA,29552,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
148876,28200,29500,24500,25400,NA,33555,4126,4136,55,77,0,0,0,0,0,1,0,hsi,latest
148885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
148937,29200,33100,23700,26100,NA,33346,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
148955,NA,29200,23200,25000,NA,35460,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
148982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
148991,29700,32700,25400,27900,34120,37272,7000,6750,171,337,0,0,0,0,0,0,0,,latest
149028,NA,60100,NA,54700,73179,75726,22000,18750,74,163,0,0,0,0,0,0,0,,latest
149204,18400,19800,NA,16400,NA,21024,9500,9500,92,150,0,0,0,0,0,0,0,,latest
149222,49700,49500,33500,36700,42202,48158,19750,17750,1881,5185,0,0,0,0,0,0,0,,latest
149231,50400,50800,38500,39600,43850,51066,17048,15500,1621,5574,0,0,0,0,0,0,0,,latest
149310,23600,25200,NA,18500,NA,18452,NA,4554,NA,33,0,0,0,0,0,0,0,,latest
149329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
149365,28800,30600,23100,24300,NA,31215,NA,NA,NA,NA,0,1,0,0,0,1,0,pbi;hsi,latest
149505,46000,44600,38900,39600,42527,50396,21429,21358,190,635,0,0,0,0,0,0,0,,latest
149514,44400,45400,34400,35400,39762,43251,19554,19500,138,442,0,0,0,0,0,0,0,,latest
149532,37000,38800,27700,29500,38277,40153,5876,5500,306,631,0,0,0,0,0,1,0,hsi,latest
149550,21500,22800,19200,21000,NA,23052,4017,4124,119,197,0,0,0,0,0,0,0,,latest
149639,NA,NA,NA,NA,NA,45746,NA,27000,17,40,0,0,0,0,0,1,0,hsi,latest
149727,31300,36200,27700,31800,38982,41993,4751,4500,312,1347,0,0,0,0,0,1,0,hsi,latest
149772,42600,47500,34600,37000,42910,48456,23496,19762,1572,4090,0,0,0,0,0,0,0,,latest
149781,59500,60500,38000,39600,63726,58108,21500,20000,159,954,0,0,0,0,0,0,0,,latest
149842,39000,42600,32400,34400,41318,44949,8065,6230,432,1312,0,0,0,0,0,1,0,hsi,latest
150066,41000,41300,28000,33300,36119,46332,17500,19500,201,810,0,0,0,0,0,0,0,,latest
150136,40300,44600,32900,35300,44037,48782,14487,16904,1904,8266,0,0,0,0,0,0,0,,latest
150145,40900,42800,30100,36000,42180,46277,19061,19293,288,799,0,0,0,0,0,0,0,,latest
150163,69500,68900,57400,55000,67879,71943,22000,22238,186,1541,0,0,0,0,0,0,0,,latest
150172,37000,47800,30700,40000,34038,41945,9000,9500,173,378,0,0,0,0,0,1,0,hsi,latest
150215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
150251,NA,35800,25900,31100,34686,39141,14015,13779,76,141,0,0,0,0,0,0,0,,latest
150288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
150303,NA,20800,NA,18500,21032,22398,7307,7307,264,396,0,0,0,0,0,0,0,,latest
150400,54400,66100,46400,43900,52536,64303,24000,24733,97,587,0,0,0,0,0,0,0,,latest
150428,NA,21200,NA,20800,NA,20748,NA,6251,21,38,0,0,0,0,0,0,0,,latest
150455,36400,39200,NA,28000,33233,39252,19500,19500,86,389,0,0,0,0,0,0,0,,latest
150534,42300,48800,37300,40700,50014,51634,15087,19000,140,782,0,0,0,0,0,0,0,,latest
150604,37300,46300,31300,36000,45062,50829,12000,18998,94,507,0,0,0,0,0,0,0,,latest
150668,40000,42400,25700,35900,52473,53522,13625,13750,107,489,0,0,0,0,0,1,0,hsi,latest
150677,29700,37500,31500,32500,42840,44909,16750,16750,151,830,0,0,0,0,0,0,0,,latest
150756,NA,51600,NA,34600,44672,49769,16767,19500,86,460,0,0,0,0,0,0,0,,latest
150765,NA,NA,NA,16100,NA,19187,6650,5719,48,88,0,0,0,0,0,0,0,,latest
150774,NA,45300,NA,33100,47288,49868,11317,11904,50,204,0,0,0,0,0,0,0,,latest
150853,NA,16800,18100,20500,NA,19553,7389,7389,123,189,0,0,0,0,0,0,0,,latest
150941,NA,39000,27900,32600,31238,41192,16485,18127,108,494,0,0,0,0,0,0,0,,latest
150987,29200,33000,25300,28900,30521,34162,6375,5835,12716,24375,0,0,0,0,0,0,0,,latest
151102,35100,39800,29400,33100,39993,44192,10500,10556,1102,3558,0,0,0,0,0,0,0,,latest
151111,52900,50700,38400,39900,47917,50780,13770,13337,3002,9948,0,0,0,0,0,0,0,,latest
151263,40300,46100,32500,38300,42190,51116,15582,18714,737,2472,0,0,0,0,0,0,0,,latest
151290,38700,49400,28000,38300,31677,39554,13392,12564,3078,5295,0,0,0,0,0,0,0,,latest
151306,36300,40200,28600,32900,41678,45868,12500,13236,914,3910,0,0,0,0,0,0,0,,latest
151324,40700,42600,30700,34400,39670,44622,13000,14574,2011,5970,0,0,0,0,0,0,0,,latest
151333,35700,40500,30000,34300,40171,45935,9286,10000,372,1360,0,0,0,0,0,0,0,,latest
151342,33800,38100,29100,31600,39127,42843,11703,12000,815,2363,0,0,0,0,0,0,0,,latest
151351,57600,57800,39300,44200,53516,59525,12000,15519,1605,9196,0,0,0,0,0,1,0,hsi,latest
151360,35500,40400,28700,33500,36195,41246,12500,12478,697,1854,0,0,0,0,0,1,0,hsi,latest
151379,37700,41800,31000,32800,41536,44862,12445,11650,698,2101,0,0,0,0,0,0,0,,latest
151388,28700,34800,26500,32400,41940,45484,12099,12000,638,1755,0,0,0,0,0,0,0,,latest
151467,27100,29000,24200,25600,34419,34817,9500,11059,169,441,0,0,0,0,0,0,0,,latest
151564,NA,NA,NA,NA,NA,28274,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
151607,NA,NA,NA,25300,NA,26862,6333,6333,507,695,0,0,0,0,0,0,0,,latest
151661,32100,38200,25900,30900,42870,47206,9832,9524,5199,9471,0,0,0,0,0,0,0,,latest
151777,39100,43600,31600,33800,45617,50853,11000,12250,205,723,0,0,0,0,0,0,0,,latest
151786,40400,46600,35400,41400,51857,56234,18750,20000,589,1635,0,0,0,0,0,0,0,,latest
151801,39500,56200,35100,47700,44468,59093,10044,14335,3816,8595,0,0,0,0,0,0,0,,latest
151810,24400,28600,17100,21300,NA,22005,26998,24332,186,212,0,0,0,0,0,0,0,,latest
151865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
151962,NA,32000,NA,31600,NA,37716,9920,11625,124,239,0,0,0,0,0,0,0,,latest
152044,NA,15200,NA,15600,NA,14800,NA,9500,NA,44,0,0,0,0,0,0,0,,latest
152080,106000,98400,72000,69700,92178,94844,14260,19000,164,1936,0,0,0,0,0,0,0,,latest
152099,29800,37200,26200,30700,43248,46203,9195,12174,97,272,0,0,0,0,0,0,0,,latest
152150,NA,NA,NA,NA,NA,27595,NA,6333,60,76,0,0,0,0,0,0,0,,latest
152275,20400,21800,16400,20200,NA,19375,6333,6333,152,198,0,0,0,0,0,0,0,,latest
152309,17500,19100,16700,17300,NA,22113,9833,9833,72,123,0,0,0,0,0,0,0,,latest
152318,80900,88500,NA,70800,93782,93607,23000,21751,64,652,0,0,0,0,0,0,0,,latest
152336,39000,43600,33700,36200,47003,50591,16000,18750,389,1294,0,0,0,0,0,0,0,,latest
152381,28900,31900,24800,28300,39607,42730,12209,13600,270,606,0,0,0,0,0,0,0,,latest
152390,NA,51300,38200,44500,53146,62295,18000,23199,85,665,0,0,0,0,0,0,0,,latest
152451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
152497,NA,46200,46700,49700,70430,64049,20625,19500,38,101,0,0,0,0,0,0,0,,latest
152530,38600,42600,27300,31600,40494,49870,12781,15500,136,757,0,0,0,0,0,0,0,,latest
152567,35700,49600,32100,40000,42613,56651,14250,18500,265,1268,0,0,0,0,0,0,0,,latest
152600,50600,54400,38300,42200,52885,59972,22500,22133,307,1534,0,0,0,0,0,0,0,,latest
152628,NA,18600,NA,NA,NA,22148,NA,5500,NA,21,0,0,0,0,0,0,0,,latest
152637,31900,36300,25100,30000,32746,38511,9433,9227,1329,3310,0,0,0,0,0,0,0,,latest
152673,NA,64000,NA,42100,48334,57515,21500,24855,59,372,0,0,0,0,0,0,0,,latest
152798,NA,52800,NA,53000,67825,66161,15000,15000,65,338,0,0,0,0,0,0,0,,latest
152992,39500,44400,31500,37000,47399,51373,17250,15506,176,592,0,0,0,0,0,0,0,,latest
153001,36800,42600,30800,36000,42212,46276,15250,17500,491,1395,0,0,0,0,0,0,0,,latest
153074,NA,23700,21200,20700,26619,28985,6171,6457,91,170,0,0,0,0,0,0,0,,latest
153083,23700,24800,20700,22300,22337,28414,6574,7600,89,163,0,0,0,0,0,0,0,,latest
153108,46200,48400,32500,37300,49595,51064,17500,20815,101,636,0,0,0,0,0,0,0,,latest
153126,39900,44800,34700,39700,45576,52881,16000,19500,87,459,0,0,0,0,0,0,0,,latest
153144,46400,50000,35200,38700,49403,51362,19500,20496,147,752,0,0,0,0,0,0,0,,latest
153162,46900,45400,NA,34500,43290,49843,14000,21500,77,475,0,0,0,0,0,0,0,,latest
153214,30400,36800,26400,31100,33011,40035,7500,6500,2696,7206,0,0,0,0,0,0,0,,latest
153241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
153250,37400,45300,36600,37900,52719,51317,16313,17500,62,583,0,0,0,0,0,0,0,,latest
153269,60900,68700,48800,54300,53119,68149,17500,19500,199,1285,0,0,0,0,0,0,0,,latest
153278,37000,42500,32800,35300,46134,51123,14290,17070,447,1241,0,0,0,0,0,0,0,,latest
153296,30600,35500,23700,28700,31748,37530,6800,6158,193,518,0,0,0,0,0,0,0,,latest
153302,NA,36800,NA,28900,33832,38838,NA,9350,18,81,0,0,0,0,0,0,0,,latest
153311,29300,33600,25000,28800,31463,36404,9500,7970,1062,2306,0,0,0,0,0,0,0,,latest
153320,NA,38700,NA,32000,37771,34619,NA,8750,15,89,0,0,0,0,0,0,0,,latest
153366,35100,40200,32200,41400,38937,45190,12500,14209,287,858,0,0,0,0,0,0,0,,latest
153375,40700,45200,34900,39800,46242,51170,15658,15097,345,1207,0,0,0,0,0,0,0,,latest
153384,NA,61000,NA,36700,60744,58562,12052,14151,80,487,0,0,0,0,0,0,0,,latest
153427,33000,39100,25200,28100,31426,35372,9500,9500,106,160,0,0,0,0,0,0,0,,latest
153445,32900,38400,27500,32400,33289,40878,9500,8750,876,2344,0,0,0,0,0,0,0,,latest
153463,NA,NA,NA,NA,NA,18843,NA,9858,15,28,0,0,0,0,0,0,0,,latest
153472,29000,34800,25100,29600,34408,39951,7862,7125,748,1642,0,0,0,0,0,0,0,,latest
153524,32400,38400,26500,31600,32856,39583,7368,8000,1252,2796,0,0,0,0,0,0,0,,latest
153533,31500,36200,28300,32200,37953,41398,7740,7242,289,792,0,0,0,0,0,0,0,,latest
153542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
153597,24100,23800,15000,17400,27642,29811,5855,6333,79,136,0,0,0,0,0,0,0,,latest
153603,53500,56000,40700,44000,52396,59021,18500,18750,1865,11013,0,0,0,0,0,0,0,,latest
153630,30800,35500,26400,29200,34216,38860,9238,8098,1268,2874,0,0,0,0,0,0,0,,latest
153658,67300,62000,53800,47700,51361,60321,18000,18207,1594,9076,0,0,0,0,0,0,0,,latest
153737,32200,38000,25900,31100,32903,38825,8950,7591,2541,6104,0,0,0,0,0,0,0,,latest
153746,25500,24800,NA,22200,NA,27901,NA,7917,NA,19,0,0,0,0,0,0,0,,latest
153764,25800,28000,23700,23500,31168,31803,NA,7917,14,36,0,0,0,0,0,0,0,,latest
153773,19800,21200,18300,20200,NA,22908,5500,6332,48,90,0,0,0,0,0,0,0,,latest
153782,NA,21300,18500,20300,NA,19321,NA,NA,NA,14,0,0,0,0,0,0,0,,latest
153825,44500,50200,35800,38200,48281,54415,13667,19500,107,662,0,0,0,0,0,0,0,,latest
153834,48200,53200,28300,38400,49990,52207,22000,22200,121,857,0,0,0,0,0,0,0,,latest
153861,NA,30400,NA,22900,NA,29723,13165,11558,266,368,0,0,0,0,0,0,0,,latest
153922,26700,32800,23100,27400,30654,36881,5688,5500,179,483,0,0,0,0,0,1,0,hsi,latest
153977,46400,48000,41700,44000,50199,56719,12500,12500,362,857,0,0,0,0,0,0,0,,latest
154004,46600,47900,35200,38000,48679,50866,11625,15750,196,944,0,0,0,0,0,0,0,,latest
154013,48800,48400,39300,43600,48478,54367,18750,18500,282,958,0,0,0,0,0,0,0,,latest
154022,31200,47600,24200,34000,28353,32575,9500,9500,19837,28873,0,0,0,0,0,0,0,,latest
154059,32200,37700,26100,29900,33784,39783,6250,6000,378,1100,0,0,0,0,0,0,0,,latest
154095,47100,49700,37700,39600,47883,50478,15131,16486,875,4791,0,0,0,0,0,0,0,,latest
154101,36500,40200,33900,36100,47058,50613,9453,16791,83,596,0,0,0,0,0,0,0,,latest
154110,31600,36000,26100,30600,35246,41687,9648,8284,630,1472,0,0,0,0,0,0,0,,latest
154129,40200,48000,37500,41900,43158,49362,8563,7000,125,492,0,0,0,0,0,0,0,,latest
154156,NA,176700,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
154174,54700,53600,NA,43800,39221,40829,7500,7500,43,65,0,0,0,0,0,0,0,,latest
154208,NA,26400,22200,24800,NA,27148,5277,4858,154,377,0,0,0,0,0,0,0,,latest
154235,44600,50500,38000,41500,53036,57759,22487,19500,267,1298,0,0,0,0,0,0,0,,latest
154262,NA,44600,NA,44500,55177,55979,14375,13000,58,174,0,0,0,0,0,0,0,,latest
154332,NA,23400,NA,18900,NA,29066,NA,7917,17,33,0,0,0,0,0,0,0,,latest
154350,43100,51200,35600,40000,44445,50552,15473,20262,166,757,0,0,0,0,0,0,0,,latest
154378,27900,31800,24400,28200,29225,34927,8966,7398,416,970,0,0,0,0,0,0,0,,latest
154396,31000,34100,27100,30100,34320,38600,8750,7418,261,637,0,0,0,0,0,0,0,,latest
154448,22800,23000,18300,21000,18962,22645,5357,5984,80,160,0,0,0,0,0,0,0,,latest
154457,NA,19300,NA,NA,NA,27104,NA,9500,46,63,0,0,0,0,0,0,0,,latest
154466,NA,20300,NA,17000,NA,25197,NA,8550,34,51,0,0,0,0,0,0,0,,latest
154493,35900,45500,32300,41200,43711,51160,19255,18000,1466,3084,0,0,0,0,0,0,0,,latest
154518,35000,42400,31600,32900,41738,49831,9500,12025,505,1538,0,0,0,0,0,0,0,,latest
154527,45100,50600,36400,40700,44083,50597,13564,19500,120,732,0,0,0,0,0,0,0,,latest
154536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
154545,NA,20100,NA,NA,NA,19060,10000,12000,34,60,0,0,0,0,0,0,0,,latest
154572,29300,34200,25800,29100,34289,37504,7271,7000,928,2062,0,0,0,0,0,0,0,,latest
154590,36200,46400,30500,36900,40507,45076,12500,12000,329,861,0,0,0,0,0,0,0,,latest
154642,29800,34900,25400,28000,35671,38472,4500,5021,207,547,0,0,0,0,0,0,0,,latest
154688,45800,59500,38300,48500,54011,59232,18445,18530,243,943,0,0,0,0,0,0,0,,latest
154697,33700,35500,24500,29400,37574,38581,6238,6250,450,1057,0,0,0,0,0,0,0,,latest
154712,37200,45000,32400,35500,49167,50407,17136,18570,103,876,0,0,0,0,0,0,0,,latest
154721,41100,45100,31300,32100,44414,46779,9500,9500,189,590,0,0,0,0,0,0,0,,latest
154749,49800,45600,NA,36600,41851,50250,12000,12000,87,296,0,0,0,0,0,0,0,,latest
154800,31100,36100,28600,30900,36110,37891,8000,6680,1474,3310,0,0,0,0,0,0,0,,latest
154855,NA,34800,NA,30400,30050,41155,14750,15750,219,511,0,0,0,0,0,1,0,hsi,latest
154907,28400,33600,24100,28700,32570,37057,6600,6326,166,434,0,0,0,0,0,0,0,,latest
154925,28000,36600,26200,28800,32181,35576,5358,5500,290,589,0,0,0,0,0,0,0,,latest
154934,33300,36400,28100,31600,35237,38582,5723,6206,193,445,0,0,0,0,0,0,0,,latest
154952,32400,36300,26100,29300,29895,34220,4995,5250,561,1225,0,0,0,0,0,0,0,,latest
154998,33600,37300,33700,32600,36401,39927,4625,5451,70,170,0,0,0,0,0,1,0,hsi,latest
155007,26300,28500,22500,24400,NA,34572,9500,8747,83,130,0,0,0,0,0,1,0,hsi,latest
155025,37700,40300,30100,33000,41360,44930,14202,14000,580,2043,0,0,0,0,0,0,0,,latest
155052,29200,34700,31900,34200,40696,44134,7332,6365,123,318,0,0,0,0,0,1,0,hsi,latest
155061,38200,42700,32900,36800,41982,46876,14250,14250,1697,5224,0,0,0,0,0,0,0,,latest
155070,NA,32500,NA,29600,32836,34874,18900,24320,35,97,0,0,0,0,0,0,0,,latest
155089,33200,46900,31900,42300,42541,46619,16750,17413,239,823,0,0,0,0,0,0,0,,latest
155098,33200,35100,27700,30600,31258,34818,4931,5500,303,656,0,0,0,0,0,0,0,,latest
155104,31300,37000,25900,29500,34554,39511,4500,5200,179,461,0,0,0,0,0,1,0,hsi,latest
155140,27000,27500,21300,21700,NA,33422,NA,NA,NA,NA,0,0,0,1,0,0,0,tribal,latest
155159,NA,18700,NA,17700,NA,24891,9833,9833,73,149,0,0,0,0,0,0,0,,latest
155177,44600,43800,32500,36600,44087,48315,11240,12000,85,314,0,0,0,0,0,0,0,,latest
155186,31200,36100,25600,29800,36434,40079,5500,5500,385,904,0,0,0,0,0,0,0,,latest
155195,32000,37500,26100,31500,34951,39693,6918,6500,584,1454,0,0,0,0,0,0,0,,latest
155201,28000,31300,22700,26000,29584,32299,4049,4750,233,389,0,0,0,0,0,0,0,,latest
155210,37500,41200,28900,32200,38751,41938,5250,4500,1528,3769,0,0,0,0,0,0,0,,latest
155283,25600,27700,20700,24000,33649,35796,9500,9500,1179,1671,0,0,0,0,0,0,0,,latest
155292,29600,34400,25400,29400,34186,36704,7000,5750,570,1089,0,0,0,0,0,1,0,hsi,latest
155308,NA,NA,NA,NA,NA,NA,9500,7859,62,111,0,0,0,0,0,0,0,,latest
155317,62800,59300,47700,45100,52378,57994,15017,15500,1704,7696,0,0,0,0,0,0,0,,latest
155335,42400,47900,37400,39500,49621,50267,17365,15240,196,612,0,0,0,0,0,1,0,hsi,latest
155353,NA,23300,NA,16100,NA,17096,10000,9667,110,136,0,0,0,0,0,0,0,,latest
155399,50300,51900,38900,41400,46197,52622,17500,17294,1437,7057,0,0,0,0,0,0,0,,latest
155414,39600,43300,35900,36000,50945,51097,14375,15000,152,555,0,0,0,0,0,0,0,,latest
155423,37200,43500,31300,36100,40639,45837,12500,12500,1178,3122,0,0,0,0,0,0,0,,latest
155450,33800,36000,27900,30000,35311,39029,8478,6500,148,347,0,0,0,0,0,0,0,,latest
155487,41300,44200,36200,41900,45824,48089,9100,7601,119,311,0,0,0,0,0,0,0,,latest
155496,NA,38800,NA,30600,31927,39839,20000,13000,35,116,0,0,0,0,0,0,0,,latest
155511,34600,43500,34300,37900,38101,42708,13375,13833,158,519,0,0,0,0,0,0,0,,latest
155520,37400,49600,42500,45700,52004,61746,12500,12912,325,1020,0,0,0,0,0,0,0,,latest
155566,32500,36700,28500,30900,32467,37972,5998,5500,154,445,0,0,0,0,0,0,0,,latest
155593,37500,41200,32200,35100,38545,44954,9243,6850,177,438,0,0,0,0,0,0,0,,latest
155618,34000,39800,28600,33500,36100,38309,8750,8717,95,254,0,0,0,0,0,0,0,,latest
155627,40900,48100,31100,41600,45091,53089,12975,12500,968,2595,0,0,0,0,0,0,0,,latest
155636,40900,48100,31100,41600,45091,53089,12975,12500,968,2595,0,0,0,0,0,0,0,,latest
155681,40700,44400,35400,37900,41827,47079,13000,14000,883,3213,0,0,0,0,0,0,0,,latest
155715,34700,40600,33000,39300,39208,46820,5500,5500,151,460,0,0,0,0,0,0,0,,latest
155812,NA,42500,30700,41900,44068,55149,14250,14817,192,648,0,0,0,0,0,0,0,,latest
155830,31600,36500,25300,30200,35499,39994,5500,5500,113,215,0,0,0,0,0,0,0,,latest
155858,33600,37400,30800,33600,36481,39330,4871,5000,84,205,0,0,0,0,0,1,0,hsi,latest
155900,48400,54000,34900,41200,42727,50968,12218,12500,258,770,0,0,0,0,0,0,0,,latest
155937,43100,40500,31200,31800,38944,42526,11500,12000,116,392,0,0,0,0,0,0,0,,latest
155973,42800,45500,37100,37700,43339,52717,12000,14000,126,435,0,0,0,0,0,0,0,,latest
156082,37200,43500,31300,36100,40639,45837,12500,12500,1178,3122,0,0,0,0,0,0,0,,latest
156107,31400,34400,27000,32900,33125,38499,7500,6650,1160,2059,0,0,0,0,0,1,0,hsi,latest
156125,41400,45400,35500,38900,42943,47823,15303,14700,2134,6408,0,0,0,0,0,0,0,,latest
156134,29100,36000,22100,24900,29805,31694,9931,9833,1203,1540,0,0,0,0,0,0,0,,latest
156189,47100,41600,25000,28400,37179,40372,7150,7990,116,291,0,0,0,0,0,0,0,,latest
156213,31500,40700,25800,29300,34482,40185,16250,17500,207,790,0,0,0,0,0,0,0,,latest
156222,48800,50200,NA,43700,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
156231,29100,31500,23900,26800,27007,30351,8473,8000,712,1264,0,0,0,0,0,0,0,,latest
156286,49300,50600,41800,43100,56439,55131,21500,20000,358,1412,0,0,0,0,0,0,0,,latest
156295,NA,36300,25900,27100,NA,39459,NA,3516,NA,263,0,0,0,0,0,0,0,,latest
156310,17300,19000,15600,17500,NA,18844,7917,7283,276,412,0,0,0,0,0,0,0,,latest
156338,29600,32800,24200,28100,27828,31722,8293,7600,689,1329,0,0,0,0,0,0,0,,latest
156356,NA,48000,29300,30800,38392,40820,25000,20185,253,587,0,0,0,0,0,0,0,,latest
156365,31900,35400,25700,28700,34007,37695,8330,9500,1046,2206,0,0,0,0,0,0,0,,latest
156392,25300,29800,22800,26700,29899,33814,7030,6755,2730,5123,0,0,0,0,0,0,0,,latest
156408,NA,53800,NA,38500,NA,59224,22059,25125,64,444,0,0,0,0,0,0,0,,latest
156417,NA,31000,NA,28900,NA,34447,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
156426,NA,NA,NA,NA,21097,22629,9833,9833,124,206,0,0,0,0,0,0,0,,latest
156471,41900,44400,37800,43200,54635,60671,16190,16500,4375,8933,0,0,0,0,0,0,0,,latest
156541,35500,38200,24700,28500,38708,41133,7773,8592,1028,2536,0,0,0,0,0,0,0,,latest
156620,34900,39300,28800,32700,39914,43614,14257,14929,2803,7592,0,0,0,0,0,0,0,,latest
156648,28200,31400,22500,26000,29533,34181,6500,5975,1006,1975,0,0,0,0,0,0,0,,latest
156727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
156745,40100,50500,28700,32500,38929,44678,11867,13000,138,623,0,0,0,0,0,0,0,,latest
156754,NA,NA,NA,14300,NA,21882,NA,9500,52,65,0,0,0,0,0,0,0,,latest
156790,26700,28400,21300,23300,26932,29160,7124,7000,587,836,0,0,0,0,0,0,0,,latest
156842,NA,18400,NA,18100,20392,24062,9833,9833,104,228,0,0,0,0,0,0,0,,latest
156851,28300,31100,24800,27700,29843,35090,7950,7457,225,436,0,0,0,0,0,0,0,,latest
156860,28800,31500,23000,26000,33192,35599,7994,6999,449,735,0,0,0,0,0,0,0,,latest
156921,28000,31500,23200,26500,30788,35031,7555,6989,2198,3806,0,0,0,0,0,0,0,,latest
156967,NA,NA,19500,21800,NA,17724,6333,6333,119,164,0,0,0,0,0,0,0,,latest
157021,21200,23200,18700,20400,NA,24935,10800,10814,238,293,0,0,0,0,0,0,0,,latest
157030,NA,NA,NA,NA,NA,29597,NA,5500,20,33,0,0,0,0,0,0,0,,latest
157058,27800,31300,22700,25600,29938,33985,12344,12250,484,863,1,0,0,0,0,0,0,hbcu,latest
157076,37500,41700,26600,30100,36148,43584,9500,11000,172,520,0,0,0,0,0,0,0,,latest
